Position,Qty,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
MIY shares,24,11.61,0.01,11.61,0.01,10.6625,0.24,22.74,278.64,11.44,11.87,--
MNST shares,1,53.7,-0.03,53.7,-0.03,50.89,-0.03,2.81,53.7,53.78,54,3/3/25
MTCH shares,2,30.41,0.12,30.41,0.12,33.24,0.24,-5.66,60.82,30.01,30.75,2/4/25
NVCR shares,10,16.86,0.38,16.86,0.38,25.272,3.8,-84.12,168.6,16.22,17,2/20/25
OKTA shares,2,73.69,-0.82,73.69,-0.82,146.7,-1.64,-146.02,147.38,73.7,75.5,12/3/24
OPEN shares,10,1.63,0.03,1.63,0.03,1.74,0.3,-1.1,16.3,1.62,1.63,2/20/25
PAYC shares,4,219.78,2.86,219.78,2.86,240.75,11.44,-83.88,879.12,212,224.02,2/5/25
PEP shares,3,158.74,2.02,158.74,2.02,158.62,6.06,0.36,476.22,158.85,159.22,2/6/25
POWW shares,300,1.19,-0.13,1.19,-0.13,2.16,-39,-291,357,1.19,1.2,11/19/24
PTON shares,12,8.36,0.42,8.36,0.42,21,5.04,-151.68,100.32,8.35,8.4,1/30/25
QDEL shares,3,37.48,-1.1,37.48,-1.1,71.8,-3.3,-102.96,112.44,36.33,38.61,2/19/25
RDFN shares,13,7.97,-0.15,7.97,-0.15,11.03,-1.95,-39.78,103.61,7.97,8,3/3/25
RMD shares,3,241.55,3.43,241.55,3.43,173.15,10.29,205.2,724.65,226.83,245.03,1/22/25
SE shares,28,114.46,0.78,114.46,0.78,40.413928,21.84,2073.290016,3204.88,114.02,114.3,3/3/25
TDOC shares,9,9,0.07,9,0.07,18.57,0.63,-86.13,81,9,9.1,2/26/25
TEAM shares,3,245.45,-2.28,245.45,-2.28,119.006666,-6.84,379.330002,736.35,226.25,247,1/30/25
TECH shares,4,68.72,2.35,68.72,2.35,63.49,9.4,20.92,274.88,66.69,70.61,1/30/25
TTC shares,2,81.87,1.05,81.87,1.05,90.17,2.1,-16.6,163.74,80.18,83.37,12/19/24
TTWO shares,1,185.5,-0.51,185.5,-0.51,120.22,-0.51,65.28,185.5,183.76,187.3,2/6/25
TYL shares,1,601.14,1.46,601.14,1.46,293.53,1.46,307.61,601.14,591,610.13,2/12/25
ULTA shares,4,343.26,1.09,343.26,1.09,443.91,4.36,-402.6,1373.04,340.1,342.73,12/5/24
UNH shares,3,600.5,23.5,600.5,23.5,462,70.5,415.5,1801.5,598.26,601,1/10/25
UPST shares,3,70.4,-0.71,70.4,-0.71,32.88,-2.13,112.56,211.2,70.11,70.29,2/11/25
VRTS shares,2,234.48,2.12,234.48,2.12,171.295,4.24,126.37,468.96,93.42,275,1/31/25
XPEV shares,1,12.64,0.12,12.64,0.12,9.68,0.12,2.96,12.64,12.68,12.69,11/19/24
ZM shares,6,78.86,1.11,78.86,1.11,81.69,6.66,-16.98,473.16,78.86,78.94,11/25/24
